BIM,target,variable,lag,correlation
BIM-07,OD,pH_Norm,5,0.4178910699341129
BIM-07,OD,Temperatura (°C),-5,-0.9059787060071304
BIM-07,OD,Temperatura (°C),-4,-0.8402184937755123
BIM-07,OD,Temperatura (°C),-3,-0.7288506892888027
BIM-07,OD,Temperatura (°C),-2,-0.6083855555921988
BIM-07,OD,Temperatura (°C),-1,-0.6743062645078609
BIM-07,OD,Temperatura (°C),0,-0.49890571292538516
BIM-07,OD,Temperatura (°C),1,-0.27647526729703564
BIM-07,OD,Temperatura (°C),2,-0.1253836475144234
BIM-07,OD,Temperatura (°C),3,-0.3230358322308308
BIM-07,OD,Temperatura (°C),4,0.13015710314108916
BIM-07,OD,Temperatura (°C),5,0.21841853820636703
BIM-07,OD,Temp_Norm,-5,-0.6712567637330094
BIM-07,OD,Temp_Norm,-4,-0.5390980579274
BIM-07,OD,Temp_Norm,-3,-0.38595065743997115
BIM-07,OD,Temp_Norm,-2,-0.5472887481375573
BIM-07,OD,Temp_Norm,-1,-0.5111390424003701
BIM-07,OD,Temp_Norm,0,-0.08462018578452726
BIM-07,OD,Temp_Norm,1,-0.027006751588560966
BIM-07,OD,Temp_Norm,2,0.1304300255525775
BIM-07,OD,Temp_Norm,3,0.3935530352442102
BIM-07,OD,Temp_Norm,4,0.5409989967565715
BIM-07,OD,Temp_Norm,5,0.41789106993411296
BIM-07,OD,EC,-5,0.6741637985128294
BIM-07,OD,EC,-4,0.47462053526106535
BIM-07,OD,EC,-3,0.17571402178087508
BIM-07,OD,EC,-2,0.28664053441186227
BIM-07,OD,EC,-1,0.24128131670813927
BIM-07,OD,EC,0,-0.24322132135124291
BIM-07,OD,EC,1,-0.8331983378073252
BIM-07,OD,EC,2,-0.7865775606584161
BIM-07,OD,EC,3,-0.7310574045518691
BIM-07,OD,EC,4,-0.6558558244427767
BIM-07,OD,EC,5,-0.3174161793451851
BIM-07,OD,EC_Norm,-5,0.6741637985128295
BIM-07,OD,EC_Norm,-4,0.47462053526106546
BIM-07,OD,EC_Norm,-3,0.1757140217808751
BIM-07,OD,EC_Norm,-2,0.2866405344118623
BIM-07,OD,EC_Norm,-1,0.24128131670813927
BIM-07,OD,EC_Norm,0,-0.24322132135124291
BIM-07,OD,EC_Norm,1,-0.8331983378073251
BIM-07,OD,EC_Norm,2,-0.7865775606584159
BIM-07,OD,EC_Norm,3,-0.7310574045518692
BIM-07,OD,EC_Norm,4,-0.655855824442777
BIM-07,OD,EC_Norm,5,-0.3174161793451851
BIM-07,OD,OD_Norm,-5,0.1938884444219152
BIM-07,OD,OD_Norm,-4,0.4928094129255768
BIM-07,OD,OD_Norm,-3,0.7522758362846829
BIM-07,OD,OD_Norm,-2,0.7053817670043552
BIM-07,OD,OD_Norm,-1,0.7595663285878838
BIM-07,OD,OD_Norm,0,0.9999999999999999
BIM-07,OD,OD_Norm,1,0.7595663285878835
BIM-07,OD,OD_Norm,2,0.7053817670043552
BIM-07,OD,OD_Norm,3,0.752275836284683
BIM-07,OD,OD_Norm,4,0.49280941292557684
BIM-07,OD,OD_Norm,5,0.19388844442191522
BIM-09,OD,pH,-5,
BIM-09,OD,pH,-4,-1.0
BIM-09,OD,pH,-3,-0.9779514754314937
BIM-09,OD,pH,-2,-0.8616678809881657
BIM-09,OD,pH,-1,-0.4281808439028389
BIM-09,OD,pH,0,0.598894856628224
BIM-09,OD,pH,1,0.7704999006829545
BIM-09,OD,pH,2,0.842505780460661
BIM-09,OD,pH,3,0.7021738678951525
BIM-09,OD,pH,4,-1.0
BIM-09,OD,pH,5,
BIM-09,OD,pH_Norm,-5,
BIM-09,OD,pH_Norm,-4,-1.0
BIM-09,OD,pH_Norm,-3,-0.9779514754314939
BIM-09,OD,pH_Norm,-2,-0.8616678809881659
BIM-09,OD,pH_Norm,-1,-0.4281808439028389
BIM-09,OD,pH_Norm,0,0.5988948566282241
BIM-09,OD,pH_Norm,1,0.7704999006829547
BIM-09,OD,pH_Norm,2,0.8425057804606614
BIM-09,OD,pH_Norm,3,0.7021738678951522
BIM-09,OD,pH_Norm,4,-0.9999999999999998
BIM-09,OD,pH_Norm,5,
BIM-09,OD,Temperatura (°C),-5,
BIM-09,OD,Temperatura (°C),-4,-0.9999999999999998
BIM-09,OD,Temperatura (°C),-3,-0.901127113779167
BIM-09,OD,Temperatura (°C),-2,-0.24743920798512328
BIM-09,OD,Temperatura (°C),-1,-0.2821271823004602
BIM-09,OD,Temperatura (°C),0,-0.46836201814470546
BIM-09,OD,Temperatura (°C),1,-0.5235163772421713
BIM-09,OD,Temperatura (°C),2,-0.5962778934400594
BIM-09,OD,Temperatura (°C),3,-0.8660254037844373
BIM-09,OD,Temperatura (°C),4,1.0
BIM-09,OD,Temperatura (°C),5,
BIM-09,OD,Temp_Norm,-5,
BIM-09,OD,Temp_Norm,-4,-1.0
BIM-09,OD,Temp_Norm,-3,-0.9779514754314937
BIM-09,OD,Temp_Norm,-2,-0.8616678809881659
BIM-09,OD,Temp_Norm,-1,-0.42818084390283895
BIM-09,OD,Temp_Norm,0,0.5988948566282241
BIM-09,OD,Temp_Norm,1,0.7704999006829546
BIM-09,OD,Temp_Norm,2,0.8425057804606613
BIM-09,OD,Temp_Norm,3,0.7021738678951523
BIM-09,OD,Temp_Norm,4,-0.9999999999999999
BIM-09,OD,Temp_Norm,5,
BIM-09,OD,EC,-5,
BIM-09,OD,EC,-4,0.9999999999999999
BIM-09,OD,EC,-3,0.9449111825230678
BIM-09,OD,EC,-2,-0.6295512999397901
BIM-09,OD,EC,-1,-0.9241799954777009
BIM-09,OD,EC,0,-0.9615538909352356
BIM-09,OD,EC,1,-0.89539959944582
