row,column,value,issue
167,EC_Norm,-0.6521739130434783,negative_value_in_non_negative_variable
168,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
169,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
170,EC_Norm,-0.3043478260869565,negative_value_in_non_negative_variable
171,EC_Norm,-0.3043478260869565,negative_value_in_non_negative_variable
172,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
173,EC_Norm,-0.08695652173913043,negative_value_in_non_negative_variable
174,EC_Norm,-0.1739130434782609,negative_value_in_non_negative_variable
175,EC_Norm,-0.3478260869565217,negative_value_in_non_negative_variable
176,EC_Norm,-0.391304347826087,negative_value_in_non_negative_variable
177,EC_Norm,-0.391304347826087,negative_value_in_non_negative_variable
178,EC_Norm,-0.3478260869565217,negative_value_in_non_negative_variable
179,EC_Norm,-0.04347826086956522,negative_value_in_non_negative_variable
0,OD_Norm,-0.2830096813548797,negative_value_in_non_negative_variable
5,OD_Norm,-0.9732954113197662,negative_value_in_non_negative_variable
6,OD_Norm,-0.8972469834422788,negative_value_in_non_negative_variable
16,OD_Norm,-0.3766077464348638,negative_value_in_non_negative_variable
17,OD_Norm,-0.5696537556623323,negative_value_in_non_negative_variable
18,OD_Norm,-0.318108955759874,negative_value_in_non_negative_variable
19,OD_Norm,-0.5462542393923361,negative_value_in_non_negative_variable
20,OD_Norm,-0.8855472253072808,negative_value_in_non_negative_variable
21,OD_Norm,-0.0782639139924131,negative_value_in_non_negative_variable
22,OD_Norm,-0.2537602860173845,negative_value_in_non_negative_variable
28,OD_Norm,-0.4526561743123514,negative_value_in_non_negative_variable
29,OD_Norm,-1.096142871737246,negative_value_in_non_negative_variable
32,OD_Norm,-0.4409564161773533,negative_value_in_non_negative_variable
51,OD_Norm,-3.640840266099329,negative_value_in_non_negative_variable
54,OD_Norm,-3.640840266099329,negative_value_in_non_negative_variable
59,OD_Norm,-0.2888595604223788,negative_value_in_non_negative_variable
60,OD_Norm,-0.6047530300673266,negative_value_in_non_negative_variable
61,OD_Norm,-0.5872033928648295,negative_value_in_non_negative_variable
62,OD_Norm,-0.6749515788773152,negative_value_in_non_negative_variable
63,OD_Norm,-0.6106029091348256,negative_value_in_non_negative_variable
64,OD_Norm,-0.2362106488148873,negative_value_in_non_negative_variable
65,OD_Norm,-0.4936053277848447,negative_value_in_non_negative_variable
74,OD_Norm,-0.002215486114925505,negative_value_in_non_negative_variable
75,OD_Norm,-1.025944322927258,negative_value_in_non_negative_variable
76,OD_Norm,-0.3532082301648676,negative_value_in_non_negative_variable
81,OD_Norm,-0.4117070208398581,negative_value_in_non_negative_variable
83,OD_Norm,-0.2303607697473883,negative_value_in_non_negative_variable
94,OD_Norm,-0.2537602860173845,negative_value_in_non_negative_variable
95,OD_Norm,-0.0139152442499236,negative_value_in_non_negative_variable
96,OD_Norm,-1.300888639099712,negative_value_in_non_negative_variable
97,OD_Norm,-0.7334503695523056,negative_value_in_non_negative_variable
98,OD_Norm,-0.5755036347298313,negative_value_in_non_negative_variable
99,OD_Norm,-0.791949160227296,negative_value_in_non_negative_variable
100,OD_Norm,-0.4585060533798505,negative_value_in_non_negative_variable
101,OD_Norm,-1.031794201994757,negative_value_in_non_negative_variable
102,OD_Norm,-0.4877554487173457,negative_value_in_non_negative_variable
103,OD_Norm,-0.1484624628024017,negative_value_in_non_negative_variable
104,OD_Norm,-0.00806536518242455,negative_value_in_non_negative_variable
108,OD_Norm,-0.7159007323498084,negative_value_in_non_negative_variable
109,OD_Norm,-0.5170048440548409,negative_value_in_non_negative_variable
115,OD_Norm,-0.2654600441523826,negative_value_in_non_negative_variable
116,OD_Norm,-0.08996367212741119,negative_value_in_non_negative_variable
117,OD_Norm,-0.1016634302624093,negative_value_in_non_negative_variable
118,OD_Norm,-1.218990332154726,negative_value_in_non_negative_variable
119,OD_Norm,-0.2654600441523826,negative_value_in_non_negative_variable
120,OD_Norm,-0.5345544812573381,negative_value_in_non_negative_variable
121,OD_Norm,-0.3532082301648676,negative_value_in_non_negative_variable
123,OD_Norm,-0.1660121000048988,negative_value_in_non_negative_variable
127,OD_Norm,-0.195261495342394,negative_value_in_non_negative_variable
128,OD_Norm,-0.08411379305991215,negative_value_in_non_negative_variable
130,OD_Norm,-0.002215486114925505,negative_value_in_non_negative_variable
134,OD_Norm,-0.2420605278823864,negative_value_in_non_negative_variable
135,OD_Norm,-0.5579539975273342,negative_value_in_non_negative_variable
136,OD_Norm,-1.084443113602248,negative_value_in_non_negative_variable
137,OD_Norm,-0.01976512331742264,negative_value_in_non_negative_variable
140,OD_Norm,-0.3356585929623711,negative_value_in_non_negative_variable
141,OD_Norm,-0.07241403492491405,negative_value_in_non_negative_variable
149,OD_Norm,-0.3298087138948721,negative_value_in_non_negative_variable
150,OD_Norm,-0.06071427678991596,negative_value_in_non_negative_variable
151,OD_Norm,-0.4292566580423552,negative_value_in_non_negative_variable
152,OD_Norm,-0.1484624628024017,negative_value_in_non_negative_variable
164,OD_Norm,-1.874176787714618,negative_value_in_non_negative_variable
165,OD_Norm,-2.184220378292068,negative_value_in_non_negative_variable
166,OD_Norm,-2.114021829482079,negative_value_in_non_negative_variable
167,OD_Norm,-0.4877554487173457,negative_value_in_non_negative_variable
170,OD_Norm,-0.323958834827373,negative_value_in_non_negative_variable
173,OD_Norm,-0.5053050859198428,negative_value_in_non_negative_variable
174,OD_Norm,-0.0139152442499236,negative_value_in_non_negative_variable
182,OD_Norm,-0.0782639139924131,negative_value_in_non_negative_variable
184,OD_Norm,-0.002215486114925505,negative_value_in_non_negative_variable
185,OD_Norm,-0.002215486114925505,negative_value_in_non_negative_variable
