BIM,variable,count,mean,median,mode,std,variance,min,p05,p25,p50,p75,p95,max,skewness,kurtosis,coefficient_variation
BIM-14,EC,18,2376.1111111111113,2325.0,2270.0,128.664583951446,16554.57516339869,2250.0,2258.5,2275.0,2325.0,2480.0,2606.0,2640.0,0.9893403853886054,-0.5173871381530275,0.05414922869127958
BIM-14,EC_Norm,18,-0.10386473429951693,-0.3260869565217391,-0.5652173913043478,0.5594112345715042,0.31294092936481455,-0.6521739130434783,-0.6152173913043478,-0.5434782608695652,-0.3260869565217391,0.34782608695652173,0.8956521739130432,1.043478260869565,0.9893403853886106,-0.51738713815302,-5.385959328200063
BIM-14,OD,18,0.6114999999999999,0.615,0.674,0.07103623764546887,0.0050461470588235285,0.437,0.5135000000000001,0.578,0.615,0.6675,0.7045499999999999,0.719,-0.6689002039745277,0.663170453994872,0.11616719157067683
BIM-14,OD_Norm,18,-0.06363921632366545,-0.04316463958741883,0.3019782253950249,0.4155533996361157,0.17268462794913328,-1.084443113602248,-0.6369273649385713,-0.25961016508488355,-0.04316463958741883,0.2639540114562811,0.4806920309071199,0.5652227834324813,-0.6689002039745305,0.6631704539948755,-6.529832132479989
BIM-14,Delta_pH_1d,18,-0.016666666666666413,0.014999999999999679,0.1100000000000012,0.12635151713514559,0.015964705882352992,-0.2199999999999989,-0.2199999999999989,-0.12500000000000092,0.014999999999999679,0.10500000000000086,0.11150000000000115,0.120000000000001,-0.4514417210458638,-1.4198958944831128,-7.58109102810885
BIM-15,pH,14,8.293571428571427,8.27,8.27,0.2283589328180577,0.05214780219780219,7.96,7.999,8.09,8.27,8.4875,8.609,8.7,0.1659076846237641,-1.0299183419709657,0.02753445060247014
BIM-15,pH_Norm,14,0.373126524078588,0.3324158998251566,0.3324158998251566,0.39440268461874717,0.15555347763447494,-0.2029904918714825,-0.13563291356126053,0.02153476916259278,0.3324158998251566,0.7080639327090897,0.9179086959063213,1.075076378630172,0.16590768462374733,-1.029918341970971,1.0570213028749411
BIM-15,Temperatura (°C),14,16.79285714285714,16.950000000000003,17.1,0.9169047309913313,0.8407142857142855,15.3,15.365,16.125,16.950000000000003,17.275,18.04,18.3,-0.14259179200182584,-0.8069989402986848,0.05460087721768881
BIM-15,Temp_Norm,14,0.1756434095645633,0.1469888473726831,0.1469888473726831,0.27760410119723977,0.07706403700152735,-0.2298620614538587,-0.182451785827294,-0.0718278093653083,0.1469888473726831,0.4113923075977573,0.5590935508959024,0.6697175273578864,0.1659076846237465,-1.02991834197097,1.58049824861318
BIM-15,EC,14,2447.1428571428573,2440.0,2340.0,88.44194718558622,7821.9780219780205,2330.0,2336.5,2352.5,2440.0,2525.0,2560.0,2560.0,-0.04152305550536886,-1.5509034040314735,0.03614090077636331
